Person,Cause,Date,Dept_name,State
Agent Mayra Del Carmen Ramírez-Barreto,Automobile accident,1/10/2013,Puerto Rico Department of Justice, PR
Correctional Officer Eliezer Colón-Claussells,Automobile accident,1/10/2013,Puerto Rico Department of Corrections and Rehabilitation, PR
Police Officer Kevin A. Tonn,Gunfire,1/15/2013,Galt Police Department, CA
Detective Traci L. Tack-Czajkowski,9/11 related illness,1/15/2013,New York City Police Department, NY
Detective Tommy L. Merriweather,9/11 related illness,1/21/2013,New York City Police Department, NY
Trooper Anson Blake Tribby,Automobile accident,1/22/2013,Kentucky State Police, KY
Trooper Michael Wayne Slagle,Automobile accident,1/25/2013,Tennessee Highway Patrol, TN
"Sergeant Frederick Albert ""Rick"" Riggenbach",Gunfire,1/26/2013,Chitimacha Tribal Police Department, TR
Police Officer William Michael McGary,Vehicular assault,2/1/2013,Conway Police Department, AR
Police Officer Patricia A. Parete,Gunfire,2/2/2013,Buffalo Police Department, NY
Public Safety Officer Keith Lawrence,Gunfire,2/3/2013,University of Southern California Department of Public Safety, CA
Deputy Sheriff Billy Ray Grimsley,Motorcycle accident,2/3/2013,Portsmouth Sheriff's Office, VA
Police Officer Michael Daniel Crain,Gunfire,2/7/2013,Riverside Police Department, CA
Detective Jeremiah Alan MacKay,Gunfire,2/12/2013,San Bernardino County Sheriff's Department, CA
Police Officer Joshua Phillip Lynaugh,Heart attack,2/16/2013,St. Paul Police Department, MN
Senior Officer Specialist Eric Williams,Stabbed,2/25/2013,United States Department of Justice - Federal Bureau of Prisons, US
"Sergeant Loran Lee ""Butch"" Baker, Jr.",Gunfire,2/26/2013,Santa Cruz Police Department, CA
Detective Elizabeth Chase Butler,Gunfire,2/26/2013,Santa Cruz Police Department, CA
Lieutenant Osvaldo Albarati,Gunfire,2/26/2013,United States Department of Justice - Federal Bureau of Prisons, US
Sergeant Gary Morales,Gunfire,2/28/2013,St. Lucie County Sheriff's Office, FL
Corporal Terry Wayne Johnson,Automobile accident,3/2/2013,Sebastian County Sheriff's Office, AR
Lieutenant Steven L. Cioffi,9/11 related illness,3/5/2013,New York City Police Department, NY
Master Trooper Junius Alvin Walker,Gunfire,3/7/2013,Virginia State Police, VA
Village Public Safety Officer Thomas O. Madole,Gunfire,3/19/2013,Alaska State Troopers - Village Public Safety Officers, AK
Executive Director Thomas L. Clements,Gunfire,3/19/2013,Colorado Department of Corrections, CO
Police Chief Randy J. Boykin,Struck by vehicle,3/19/2013,Enterprise Police Department, MS
Sergeant Gilbert Cortez,Automobile accident,3/25/2013,California Department of Corrections and Rehabilitation, CA
Coordinator Larry D. Johnson,Heart attack,3/26/2013,Fifth Judicial District Drug Task Force, AR
Trooper James Michael Sauter,Automobile accident,3/28/2013,Illinois State Police, IL
Trooper Tage Brandel Toll,Aircraft accident,3/30/2013,Alaska State Troopers, AK
Correctional Officer Brandon Elliot Kountz,Heart attack,3/31/2013,United States Department of Justice - Federal Bureau of Prisons, US
"Detective Eric Tyrone Smith, Sr.",Gunfire,4/4/2013,Jackson Police Department, MS
Deputy Sheriff Hans J. Fifer,Heart attack,4/8/2013,Faulkner County Sheriff's Office, AR
"Chief of Police Anthony Quinn Barfield, Sr.",Heart attack,4/9/2013,Barwick Police Department, GA
Police Officer Donald E. Bishop,Heart attack,4/13/2013,Town of Brookfield Police Department, WI
Assistant Warden Peggy L. Sylvester,Automobile accident,4/14/2013,Opelousas Police Department, LA
Patrol Officer Sean Allen Collier,Gunfire,4/18/2013,Massachusetts Institute of Technology Police Department, MA
Deputy Sheriff Chad Christian Key,Vehicular assault,4/20/2013,Grayson County Sheriff's Office, TX
Deputy Sheriff Douglas Leon Hanna,Automobile accident,4/21/2013,Washita County Sheriff's Office, OK
"Master Deputy Sheriff Joseph ""Shane"" Robbins",Automobile accident,4/26/2013,Polk County Sheriff's Office, FL
Police Officer Larry Dale Candelari,Struck by vehicle,4/26/2013,Pasadena Police Department, TX
"Detective Charles John Wassil, Jr.",9/11 related illness,5/1/2013,Peekskill Police Department, NY
"Sergeant Donald J. O'Leary, Jr.",9/11 related illness,5/1/2013,New York City Police Department, NY
"Patrolman William Jerry McCarthy, IV",Vehicle pursuit,5/2/2013,Shenango Township Police Department, PA
Officer Timothy Allen Huffman,Automobile accident,5/6/2013,Arizona Department of Public Safety, AZ
Detective Bob W. Branham,Gunfire,5/14/2013,Louisville Metro Police Department, KY
Detective Richard H. Wentz,9/11 related illness,5/14/2013,New York City Police Department, NY
Special Agent Christopher William Lorek,Training accident,5/17/2013,United States Department of Justice - Federal Bureau of Investigation, US
Special Agent Stephen Palmer Shaw,Training accident,5/17/2013,United States Department of Justice - Federal Bureau of Investigation, US
Police Officer Daryl Michael Raetz,Struck by vehicle,5/19/2013,Phoenix Police Department, AZ
Deputy Sheriff Timothy Eugene Causey,Fire,5/19/2013,Horry County Sheriff's Office, SC
Police Officer Anthony DeJesus,9/11 related illness,5/24/2013,New York City Police Department, NY
Police Officer Jason Scott Ellis,Gunfire,5/25/2013,Bardstown Police Department, KY
Detective Carmen M. Figueroa,9/11 related illness,5/26/2013,New York City Police Department, NY
Sheriff Cody Don Carpenter,Drowned,5/31/2013,Scott County Sheriff's Office, AR
Wildlife Officer Joel Lee Campora,Drowned,5/31/2013,Arkansas Game and Fish Commission, AR
"Trooper Sean Michael O'Connell, Jr.",Motorcycle accident,5/31/2013,Washington State Patrol, WA
Police Officer Nicholas G. Finelli,9/11 related illness,6/8/2013,New York City Police Department, NY
Lieutenant Stanley Lewis Klingenschmidt,Motorcycle accident,6/15/2013,Southern Pines Police Department, NC
